Date,Close,High,Low,Open,Volume,Ticker
,UL,UL,UL,UL,UL,
2015-01-02,27.737749099731445,27.994450892060033,27.647555576685804,27.938949017832794,907700,UL
2015-01-05,27.217403411865234,27.383914311140742,27.0855841579478,27.293720797091467,1347000,UL
2015-01-06,27.078641891479492,27.425537135373826,26.9745749062716,27.238213386078804,1416000,UL
2015-01-07,27.370038986206055,27.404727985982028,27.05783269502023,27.127210694572177,1067100,UL
2015-01-08,27.876514434814453,27.9805841130038,27.64756220143863,27.65450159150558,1127900,UL
2015-01-09,27.64754295349121,27.848742779729623,27.48797149886765,27.827929917222203,1042000,UL
2015-01-12,28.070762634277344,28.181769006987558,27.827937021036462,28.056886506863478,1124700,UL
2015-01-13,28.188709259033203,28.507852259543654,27.980572634639465,28.473163263244828,1112300,UL
2015-01-14,28.396846771240234,28.480100894280476,28.209523009449054,28.33440551730984,1303300,UL
2015-01-15,28.653545379638672,28.80618012727654,28.500913278601367,28.674360893062374,1153000,UL
2015-01-16,28.986576080322266,29.02820447722604,28.67437236664962,28.95882646232137,1142600,UL
2015-01-20,28.702112197875977,28.77842957620958,28.48009944996043,28.618858079057826,1847100,UL
2015-01-21,29.14613914489746,29.173891401418874,28.67436401703772,28.77843100909174,2523700,UL
2015-01-22,29.14613914489746,29.236332655291623,28.67436401703772,28.68130075786765,3358600,UL
2015-01-23,29.49303436279297,29.770551634346006,29.472221493736786,29.604040742094014,1476400,UL
2015-01-26,30.249263763427734,30.27007927744328,29.73586029212202,29.79830154096738,4242600,UL
2015-01-27,30.46434783935547,30.561478108505284,30.25621117023425,30.25621117023425,1628200,UL
2015-01-28,30.172950744628906,30.554534999605565,30.159074616698746,30.540658871675404,1282000,UL
2015-01-29,30.991628646850586,31.005504778150936,30.72105070299731,30.9153138946008,1850100,UL
2015-01-30,30.505977630615234,30.721051051708375,30.443536362355605,30.693301435394122,2073500,UL
2015-02-02,30.443525314331055,30.485151046997093,30.103566833488898,30.221512584777177,998100,UL
2015-02-03,30.46434783935547,30.492100100998655,30.25621117023425,30.31865243563075,1741200,UL
2015-02-04,30.300077438354492,30.446861851990082,30.167275285987635,30.25115018925433,2164000,UL
2015-02-05,30.4259090423584,30.4259090423584,30.181272652806342,30.209231859137052,1648800,UL
2015-02-06,29.824785232543945,30.041464978898542,29.712951126823757,29.9715696626992,1021100,UL
2015-02-09,29.873720169067383,29.957595095855666,29.48229940016232,29.48229940016232,954800,UL
2015-02-10,30.013517379760742,30.097394991203387,29.761892544442098,29.901683230840312,781000,UL
2015-02-11,30.013517379760742,30.111374593110494,29.873726693362528,30.02050851388251,617400,UL
2015-02-12,30.19524574279785,30.223204943097713,29.915659072471467,29.92265020571448,1170300,UL
2015-02-13,30.076417922973633,30.15330438410706,29.915656534392774,30.139324785143174,986600,UL
2015-02-17,30.18126678466797,30.251162120568342,29.824793639102076,30.07642111448126,1143600,UL
2015-02-18,30.076417922973633,30.15330438410706,29.782854343739682,29.81081354166745,1092500,UL
2015-02-19,30.2371768951416,30.404929402966346,30.16728157224376,30.2371768951416,1309900,UL
2015-02-20,30.293100357055664,30.37697529183938,29.859743416614325,29.922650284286142,1916700,UL
2015-02-23,30.649568557739258,30.6984958215977,30.383964172889385,30.46085063504863,2700000,UL
2015-02-24,30.852270126342773,30.93614505866209,30.60763379610476,30.80334286029517,1490800,UL
2015-02-25,30.74043846130371,30.852272602149178,30.523758646893523,30.852272602149178,1406900,UL
2015-02-26,30.789352416992188,30.873227319772077,30.55869576776372,30.55869576776372,1921200,UL
2015-02-27,30.83130645751953,31.01303594785533,30.74044037918343,30.761408448670068,1732700,UL
2015-03-02,30.89419937133789,30.999042337729318,30.775374143158697,30.943126622254262,1288000,UL
2015-03-03,30.789352416992188,31.02700019681445,30.7264455733235,31.006032137703247,1500300,UL
2015-03-04,30.558700561523438,30.719461928043234,30.467834513895554,30.64257547746083,1971400,UL
2015-03-05,30.950115203857422,31.013022050464254,30.873228761745157,30.943126739272312,982200,UL
2015-03-06,30.069427490234375,30.579670820536762,30.02748869608536,30.5587027566301,886700,UL
2015-03-09,29.866724014282227,29.992537716476576,29.74790144350723,29.964578523469967,929000,UL
2015-03-10,29.44735336303711,29.754896555808507,29.44735336303711,29.7129577569295,1148600,UL
2015-03-11,29.41240692138672,29.55219759079666,29.349500053617803,29.524241056716335,1186100,UL
2015-03-12,29.42637825012207,29.601119219935946,29.293576072944344,29.496276237848978,1105900,UL
2015-03-13,29.398426055908203,29.419394122150038,29.13980746269099,29.15378706229754,1181100,UL
2015-03-16,29.838769912719727,29.950604037493232,29.69897925650473,29.712956189057547,787200,UL
2015-03-17,29.71994400024414,29.775859723213966,29.503264241189115,29.65703714544336,714500,UL
