Total Revenue,Gross Profit,Net Income,EPS,Operating Income,Year
60761000000.0,27370000000.0,5744000000.0,2.3,11250000000.0,2024
59604000000.0,25175000000.0,6487000000.0,2.58,10041000000.0,2023
60073000000.0,24167000000.0,7642000000.0,3.0,9727000000.0,2022
52444000000.0,22185000000.0,6049000000.0,2.33,9636000000.0,2021
,,,,,2020
