Model,Mean Final Equity,Prob of Loss (%),VaR 95%,CVaR 95%,Worst 5% Case,Best 5% Case
Linear Regression,19207.291680272225,9.950000000000001,-0.0279714270989547,-0.04816905627514213,8552.20435032369,34565.103707534094
Random Forest,39288.95198647144,0.25,-0.027042300351726795,-0.04380123644510754,16182.349504707801,72763.66687069395
XGBoost,18409.86524933091,19.8,-0.035401125603488674,-0.05900266195943443,6732.566710330854,37325.54285630823
Neural Network,22859.042659048646,5.75,-0.0333880822782644,-0.04791431148340951,9712.290010883555,43355.20141073775
