Date,Close,High,Low,Open,Volume,Ticker,Year,Total Revenue,Gross Profit,Net Income,EPS,Operating Income,Return,Volatility_30d,Total Revenue_Growth,Net Income_Growth,EPS_Growth,PE_Ratio
2021-01-05,89.99590301513672,90.846719119083,89.78753421017025,90.67308507199192,5413155.0,NESN.SW,2021.0,87470000000.0,42002000000.0,16905000000.0,6.06,14930000000.0,-0.007658463937725513,0.009385930808198509,0.0,0.0,0.0,14.8508090784054
2021-01-06,88.79780578613281,89.75280629489131,88.39844217787797,89.64862851586834,7212007.0,NESN.SW,2021.0,87470000000.0,42002000000.0,16905000000.0,6.06,14930000000.0,-0.01331279745926206,0.009582775402753724,0.0,0.0,0.0,14.65310326503842
2021-01-07,88.65889739990234,89.05826099701775,87.877530960453,88.62416926662524,5379644.0,NESN.SW,2021.0,87470000000.0,42002000000.0,16905000000.0,6.06,14930000000.0,-0.001564322282523789,0.0095598613828114,0.0,0.0,0.0,14.630181089092797
2021-01-08,87.99908447265625,89.40554419724161,87.70389862362313,88.97145242562185,7549520.0,NESN.SW,2021.0,87470000000.0,42002000000.0,16905000000.0,6.06,14930000000.0,-0.007442151285391718,0.00881538585938157,0.0,0.0,0.0,14.521301068095092
2021-01-11,87.3392562866211,87.99907758246026,87.3392562866211,87.96434944860407,6318571.0,NESN.SW,2021.0,87470000000.0,42002000000.0,16905000000.0,6.06,14930000000.0,-0.007498125576978931,0.008898295556145621,0.0,0.0,0.0,14.412418529145397
2021-01-12,87.13089752197266,87.79071884367109,86.75757834803052,87.40871597999602,5884000.0,NESN.SW,2021.0,87470000000.0,42002000000.0,16905000000.0,6.06,14930000000.0,-0.0023856255881623545,0.008898148443181481,0.0,0.0,0.0,14.37803589471496
2021-01-13,87.113525390625,88.1900776524918,87.09616463582064,87.09616463582064,5335715.0,NESN.SW,2021.0,87470000000.0,42002000000.0,16905000000.0,6.06,14930000000.0,-0.00019937969011829537,0.008852249950621081,0.0,0.0,0.0,14.375169206373764
2021-01-14,87.20035552978516,87.42607847762271,86.74021932048946,86.85308079440823,5564460.0,NESN.SW,2021.0,87470000000.0,42002000000.0,16905000000.0,6.06,14930000000.0,0.0009967469319007716,0.008857172846234579,0.0,0.0,0.0,14.38949761217577
2021-01-15,87.58235168457031,87.63444720023618,86.66207926695385,86.81835256652218,7762674.0,NESN.SW,2021.0,87470000000.0,42002000000.0,16905000000.0,6.06,14930000000.0,0.004380671987681106,0.008678384301075705,0.0,0.0,0.0,14.45253328128223
2021-01-18,87.91226196289062,88.29425819397748,87.53025910808941,87.61707613225849,3107391.0,NESN.SW,2021.0,87470000000.0,42002000000.0,16905000000.0,6.06,14930000000.0,0.0037668579568232996,0.008594527290483833,0.0,0.0,0.0,14.506973921269081
2021-01-19,87.3392562866211,88.62417074444323,87.32189553155013,88.46789745394749,6040045.0,NESN.SW,2021.0,87470000000.0,42002000000.0,16905000000.0,6.06,14930000000.0,-0.006517926663192952,0.008647020717183476,0.0,0.0,0.0,14.412418529145397
